STUDYAREAN,IMGPATH,SPECIESID,COMMONNAME
746,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_190301\BEM-BVEM02_01318_2-13-2019.JPG,7.0,Coyote
747,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00509_2-24-2019.JPG,0.0,None
748,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00592_6-13-2019.JPG,25.0,Dog
749,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01430_8-12-2019.JPG,26.0,Armadillo
750,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00707_2-28-2019.JPG,19.0,Ocelot
751,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_00831_12-16-2018.JPG,7.0,Coyote
752,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190301\RUE-RUE05_06371_2-28-2019.JPG,15.0,Rabbit
753,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_01341_5-15-2019.JPG,12.0,White-tailed deer
754,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07_190507\RCW-RCW07_00316_4-16-2019.JPG,13.0,Nilgai
755,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_02984_7-17-2019.JPG,5.0,Pig
756,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_09_190827\RUS-RUS09_05403_8-21-2019.JPG,27.0,Opossum
757,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_02_190211\CNC-CONC02_02652_1-28-2019.JPG,6.0,Cattle
758,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01497_7-30-2019.JPG,33.0,Turkey
759,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_05911_8-18-2019.JPG,18.0,Unknown
760,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190227\CNE-CONE05.35_01413_2-23-2019.JPG,7.0,Coyote
761,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_06_190212\RCW-RCW06_00166_1-14-2018.JPG,13.0,Nilgai
762,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_01322_7-27-2019.JPG,33.0,Turkey
763,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_10958_9-8-2019.JPG,10.0,Birds
764,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190812\CNW-CONW02_04303_8-8-2019.JPG,9.0,Humans
765,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06_190301\BSW-BVSW06_00769_2-16-2019.JPG,18.0,Unknown
766,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_190522\CLE-COLE11_00439_4-15-2019.JPG,13.0,Nilgai
767,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00333_7-11-2019.JPG,33.0,Turkey
768,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_04_190827\RUM-RUM04_10274_8-15-2019.JPG,21.0,Mouse
769,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04275_12-20-2018.JPG,11.0,"Exotics, other"
770,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190912\CT-CT06_00401_9-8-2019.JPG,25.0,Dog
771,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_08_190424\BVS-BVS08_24590_4-10-2019.JPG,0.0,None
772,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_03789_3-19-2019.JPG,18.0,Unknown
773,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190730\BSE-BVSE03_01339_6-24-2018.JPG,8.0,Bobcat
774,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190812\CNE-CONE05.4_00280_8-3-2019.JPG,32.0,Tortoise/Turtle
775,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190429\CSE-COSE17_00058_4-2-2019.JPG,22.0,Rat
776,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01081_8-9-2019.JPG,27.0,Opossum
777,BV Troughs,F:\Nilgai_photo_database\BV\BVT\BV_T_03_190612\BVT-BVT03_02440_6-9-2019.JPG,10.0,Birds
778,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_07008_8-19-2019.JPG,18.0,Unknown
779,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_03_190301_Cam161\BVS-BVS03_00692_2-22-2019.JPG,6.0,Cattle
780,Buena Vista Mid,F:\Nilgai_photo_database\BV\BVM\BV_M_20_190301\BVM-BVM20_49097_2-5-2019.JPG,0.0,None
781,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190827\CNE-CONE05.35_03680_8-18-2019.JPG,5.0,Pig
782,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_11_Cam100_190729\CLE-COLE11_00196_6-29-2019.JPG,13.0,Nilgai
783,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_02026_2-27-2019.JPG,22.0,Rat
784,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_05_190424\RUE-RUE05_03207_4-6-2019.JPG,0.0,None
785,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_08_190812\RCW-RCW08_10581_7-4-2019.JPG,0.0,None
786,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_01059_2-4-2019.JPG,8.0,Bobcat
787,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_01672_3-23-2019.JPG,27.0,Opossum
788,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00327_6-11-2019.JPG,25.0,Dog
789,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190827\CLE-COLE12_01868_8-24-2019.JPG,8.0,Bobcat
790,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190924\CT-CT06_00189_9-15-2019.JPG,17.0,Raccoon
791,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_11_190924\CSC-CSC11_00106_9-12-2019.JPG,6.0,Cattle
792,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_02_190528\RUS-RUS02_00682_5-2-2019.JPG,22.0,Rat
793,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190429\CSE-COSE17_00130_4-4-2019.JPG,22.0,Rat
794,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.6_190924\CNE-CONE05.6_04827_9-18-2019.JPG,0.0,None
795,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_01490_2-21-2019.JPG,22.0,Rat
796,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02848_7-27-2019.JPG,15.0,Rabbit
797,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190108\CNE-CONE05.35_01563_12-19-2018.JPG,5.0,Pig
798,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_01130_8-6-2019.JPG,17.0,Raccoon
799,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00803_8-6-2019.JPG,27.0,Opossum
800,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_08206_9-5-2019.JPG,12.0,White-tailed deer
801,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_07_190405_Cam142\BSE-BVSE07_00040_3-20-2019.JPG,26.0,Armadillo
802,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_01_190507\RCW-RCW01_00545_4-22-2019.JPG,22.0,Rat
803,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_00.2_190403_Cam85\RCW-RCW00.2_04263_3-18-2019.JPG,8.0,Bobcat
804,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_03_190404\BVH-BVH03_00217_3-16-2019.JPG,18.0,Unknown
805,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_03196_7-29-2019.JPG,27.0,Opossum
806,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190827\RUS-RUS04_01443_8-25-2019.JPG,21.0,Mouse
807,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190424\BSW-BVSW12_00095_4-11-2019.JPG,19.0,Ocelot
808,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_00768_3-16-2019.JPG,15.0,Rabbit
809,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0667_190924\CLE-COLE0667_06118_9-13-2019.JPG,27.0,Opossum
810,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190911\CSC-CSC12_01213_9-8-2019.JPG,33.0,Turkey
811,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_03_190813\RUS-RUS03_00459_8-2-2018.JPG,0.0,None
812,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190729\CNW-CONW02_00508_7-1-2019.JPG,5.0,Pig
813,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190827\BSE-BVSE01_05854_8-18-2019.JPG,18.0,Unknown
814,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190827\RUS-RUS04_00736_8-14-2019.JPG,21.0,Mouse
815,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190812\CSE-COSE0.8_00049_7-31-2019.JPG,28.0,Spider
816,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_03_190207\RCNX0518.JPG,7.0,Coyote
817,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190405\BSE-BVSE03_00916_3-21-2019.JPG,6.0,Cattle
818,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_1_190730\BSM-BVSM1_00505_7-25-2019.JPG,13.0,Nilgai
819,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_111_190827\CSE-COSE111_00525_8-11-2019.JPG,33.0,Turkey
820,Buena Vista South,F:\Nilgai_photo_database\BV\BVS\BV_S_01_190404_Cam (Not 75)\BVS-BVS01_00047_3-15-2019.JPG,15.0,Rabbit
821,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00621_6-13-2019.JPG,25.0,Dog
822,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190827\CSC-CSC12_00596_8-22-2019.JPG,33.0,Turkey
823,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_01_190404\RUM-RUM01_00440_3-14-2019.JPG,12.0,White-tailed deer
824,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00717_7-19-2019.JPG,33.0,Turkey
825,Rio Costero South,F:\Nilgai_photo_database\RC\RCS\RC_S_02_190507_Cam32\RCS-RCS02_00367_4-17-2019.JPG,11.0,"Exotics, other"
826,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_25_190301\RCW-RCW25_00144_1-27-2019.JPG,12.0,White-tailed deer
827,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_11401_9-9-2019.JPG,12.0,White-tailed deer
828,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.5_190522\CNE-CONE05.5_00346_5-13-2019.JPG,7.0,Coyote
829,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_01_190207_Cam138\RCNX0174.JPG,12.0,White-tailed deer
830,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00616_6-13-2019.JPG,25.0,Dog
831,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_12_190211\CLE-COLE12_03767_2-10-2019.JPG,13.0,Nilgai
832,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_05_190730\BVE-BVE05_00505_6-20-2019.JPG,6.0,Cattle
833,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190912\CNC-CONC12_00103_8-29-2019.JPG,21.0,Mouse
834,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190812\CLE-COLE05_00074_8-2-2019.JPG,22.0,Rat
835,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00315_8-27-2019.JPG,26.0,Armadillo
836,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_06_190924\BEM-BVEM06_00436_9-19-2019.JPG,6.0,Cattle
837,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03824_12-17-2018.JPG,11.0,"Exotics, other"
838,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_01_190301\BEM-BVEM01_06084_1-19-2019.JPG,0.0,None
839,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190429\CNC-CONC65.5_11561_4-4-2019.JPG,10.0,Birds
840,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_03015_3-7-2019.JPG,21.0,Mouse
841,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_06_190301\BSW-BVSW06_05024_2-27-2019.JPG,12.0,White-tailed deer
842,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_02045_8-24-2019.JPG,17.0,Raccoon
843,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190827\CT-CT05_00246_8-12-2019.JPG,9.0,Humans
844,Russel Middle,F:\Nilgai_photo_database\RU\RUM\RU_M_04_190827\RUM-RUM04_06347_8-14-2019.JPG,21.0,Mouse
845,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190812\CT-CT04_00067_7-29-2019.JPG,9.0,Humans
846,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190812\CSE-COSE0.6_00108_8-1-2019.JPG,17.0,Raccoon
847,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_02_Cam115_190813\BEM-BVEM02_00011_8-2-2019.JPG,26.0,Armadillo
848,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_04220_3-21-2019.JPG,21.0,Mouse
849,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07_190729\CNC-CONC07_00982_7-17-2019.JPG,9.0,Humans
850,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_12_190924\CSE-COSE12_00006_9-12-2019.JPG,21.0,Mouse
851,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190402\CSC-CSC12_00066_3-6-2019.JPG,21.0,Mouse
852,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11.5_190603\CNC-CONC11.5_01152_5-21-2019.JPG,0.0,None
853,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_066_190924\CLE-COLE066_00014_9-11-2019.JPG,13.0,Nilgai
854,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.1_190507_Cam86\RCW-RCW02.1_00339_4-10-2019.JPG,13.0,Nilgai
855,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190228\RCW-RCW09_00751_2-21-2019.JPG,21.0,Mouse
856,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.6_190911\CSE-COSE0.6_00374_8-30-2019.JPG,21.0,Mouse
857,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_190729\CSE-COSE0.8_00032_7-26-2019.JPG,26.0,Armadillo
858,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190924\CNE-CONE05.35_00145_9-11-2019.JPG,5.0,Pig
859,Russel E,F:\Nilgai_photo_database\RU\RUE\RU_E_03_190301\RUE-RUE03_08434_2-24-2019.JPG,8.0,Bobcat
860,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190211\CSC-CSC12_00488_1-28-2019.JPG,13.0,Nilgai
861,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190812\CNW-CONW03_01213_8-8-2019.JPG,27.0,Opossum
862,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_01_190827\CNW-CONW01_00195_8-15-2019.JPG,7.0,Coyote
863,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00327_3-3-2019.JPG,18.0,Unknown
864,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190729_CamNilgai12\CNE-CONE05.3_00704_7-28-2019.JPG,5.0,Pig
865,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_13_190403_Cam82\RCW-RCW13_00156_3-26-2019.JPG,5.0,Pig
866,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190812\CT-CT06_00300_7-30-2019.JPG,17.0,Raccoon
867,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190207\BSW-BVSW12_01672_2-7-2019.JPG,17.0,Raccoon
868,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_17_190429\CSE-COSE17_00024_4-1-2019.JPG,22.0,Rat
869,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00350_6-12-2019.JPG,25.0,Dog
870,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_12_190211\CNC-CONC12_00680_2-6-2019.JPG,7.0,Coyote
871,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_05_190827\CLE-COLE05_00499_8-25-2019.JPG,13.0,Nilgai
872,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_01997_7-20-2019.JPG,27.0,Opossum
873,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.5_190507\RCW-RCW02.5_02408_4-22-2019.JPG,28.0,Spider
874,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190729\CN-CON04_00374_6-27-2019.JPG,12.0,White-tailed deer
875,Buena Vista North,F:\Nilgai_photo_database\BV\BVN\BV_N_04_190301\BVN-BVN04_00466_1-25-2019.JPG,7.0,Coyote
876,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_01308_8-11-2019.JPG,26.0,Armadillo
877,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00811_3-8-2019.JPG,18.0,Unknown
878,BV East Middle,F:\Nilgai_photo_database\BV\BVEM\BV_EM_04_190730\BEM-BVEM04_00411_6-18-2019.JPG,6.0,Cattle
879,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_02_190211\CNC-CONC02_01745_1-25-2019.JPG,6.0,Cattle
880,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.3_190402\CNE-CONE05.3_00306_3-21-2019.JPG,15.0,Rabbit
881,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_02369_5-21-2019.JPG,10.0,Birds
882,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_00368_2-14-2019.JPG,22.0,Rat
883,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190729\CLE-COLE0669_02867_7-28-2019.JPG,26.0,Armadillo
884,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_02_190301\BSE-BVSE02_00198_2-20-2019.JPG,29.0,Skunk
885,BV Hacienda,F:\Nilgai_photo_database\BV\BVH\BV_H_02_190509\RCNX6618.JPG,11.0,"Exotics, other"
886,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00640_2-26-2019.JPG,19.0,Ocelot
887,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403\RCW-RCW24_01232_4-2-2019.JPG,21.0,Mouse
888,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190402\CNE-CONE05.4_00113_3-26-2019.JPG,8.0,Bobcat
889,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_05_190827\CT-CT05_00404_8-16-2019.JPG,12.0,White-tailed deer
890,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_Cam78_190827\CSE-COSE0.8_00118_8-13-2019.JPG,27.0,Opossum
891,Russel S,F:\Nilgai_photo_database\RU\RUS\RU_S_04_190813\RUS-RUS04_00957_8-6-2019.JPG,21.0,Mouse
892,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_08_190212\RCW-RCW08_00036_1-13-2019.JPG,0.0,None
893,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00591_8-5-2019.JPG,26.0,Armadillo
894,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_01979_7-14-2019.JPG,5.0,Pig
895,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04958_12-27-2018.JPG,11.0,"Exotics, other"
896,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_00.1_190301\BVE-BVE00.1_00871_2-5-2019.JPG,6.0,Cattle
897,Colima S Central,F:\Nilgai_photo_database\COL\COSC\CO_SC_12_190729\CSC-CSC12_00737_7-19-2019.JPG,33.0,Turkey
898,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_24_190403_Cam36\RCW-RCW24_02905_3-5-2019.JPG,21.0,Mouse
899,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00144_3-1-2019.JPG,22.0,Rat
900,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190429\CN-CON04_01875_4-15-2019.JPG,6.0,Cattle
901,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190729\CNE-CONE05.4_11475_7-29-2019.JPG,26.0,Armadillo
902,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_06_190827\CT-CT06_02170_8-26-2019.JPG,17.0,Raccoon
903,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190729\CNE-CONE05.4_00210_6-26-2019.JPG,12.0,White-tailed deer
904,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.35_190723\CNE-CONE05.35_00999_7-7-2019.JPG,5.0,Pig
905,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05934_1-4-2019.JPG,11.0,"Exotics, other"
906,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_05688_1-1-2019.JPG,11.0,"Exotics, other"
907,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_07.1_190729\CNC-CONC07.1_00069_6-29-2019.JPG,10.0,Birds
908,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190522\CN-CON03_00399_5-11-2019.JPG,10.0,Birds
909,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_65.5_190603\CNC-CONC65.5_00109_5-21-2019.JPG,9.0,Humans
910,Buena Vista East,F:\Nilgai_photo_database\BV\BVE\BV_E_03_190730\BVE-BVE03_00078_6-14-2019.JPG,6.0,Cattle
911,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_03_190729\CNW-CONW03_00973_7-9-2019.JPG,26.0,Armadillo
912,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_11_190402\CNC-CONC11_00764_3-17-2019.JPG,12.0,White-tailed deer
913,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_2.25_190403\RCW-RCW2.25_00622_4-1-2019.JPG,13.0,Nilgai
914,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_17_190228\RCW-RCW17_02340_2-18-2019.JPG,8.0,Bobcat
915,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_09_190228\RCW-RCW09_00608_2-14-2019.JPG,26.0,Armadillo
916,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.1_190403_Cam78\RCW-RCW07.1_00336_3-3-2019.JPG,18.0,Unknown
917,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_04081_12-19-2018.JPG,11.0,"Exotics, other"
918,Colima N Central,F:\Nilgai_photo_database\COL\CONC\CO_NC_01_190108\CNC-CONC01_00856_12-10-2018.JPG,6.0,Cattle
919,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190117_CamNilgai23\BSW-BVSW12_03784_12-16-2018.JPG,11.0,"Exotics, other"
920,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_07.2_190228_Cam80\RCW-RCW07.2_02145_2-28-2019.JPG,22.0,Rat
921,Colima NE,F:\Nilgai_photo_database\COL\CONE\CO_NE_05.4_190827\CNE-CONE05.4_00026_8-12-2019.JPG,15.0,Rabbit
922,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_15_190429\CSE-COSE15_12964_4-5-2019.JPG,0.0,None
923,Colima North West,F:\Nilgai_photo_database\COL\CONW\CO_NW_02_190620\CNW-CONW02_00598_6-13-2019.JPG,25.0,Dog
924,Buena Vista SW,F:\Nilgai_photo_database\BV\BVSW\BV_SW_12_190301\BSW-BVSW12_00688_2-27-2019.JPG,10.0,Birds
925,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_04_190522\CN-CON04_02170_5-21-2019.JPG,10.0,Birds
926,Rio Costero W,F:\Nilgai_photo_database\RC\RCW\RC_W_02.5_190507\RCW-RCW02.5_03026_4-28-2019.JPG,13.0,Nilgai
927,BV South Middle,F:\Nilgai_photo_database\BV\BVSM\BV_SM_1_190301\BSM-BVSM1_00101_2-20-2019.JPG,13.0,Nilgai
928,Colima SE,F:\Nilgai_photo_database\COL\COSE\CO_SE_0.8_Cam78_190827\CSE-COSE0.8_00122_8-13-2019.JPG,27.0,Opossum
929,Colima East,F:\Nilgai_photo_database\COL\COLE\CO_LE_0669_190812\CLE-COLE0669_00664_8-5-2019.JPG,27.0,Opossum
930,Colima Trough,F:\Nilgai_photo_database\COL\CT\C_T_04_190912\CT-CT04_08179_9-5-2019.JPG,17.0,Raccoon
931,Colima N,F:\Nilgai_photo_database\COL\CONorth\CO_N_03_190402\CN-CON03_01228_3-27-2019.JPG,12.0,White-tailed deer
932,Buena Vista SE,F:\Nilgai_photo_database\BV\BVSE\BV_SE_03_190301\BSE-BVSE03_00945_2-14-2019.JPG,13.0,Nilgai
